question,generated_answer
what is the earliest known example of advertising,"wall posters. Wall or rock painting for commercial advertising is another manifestation of an ancient advertising form, which is present to this day in many parts of Asia, Africa, and South America. The tradition of wall painting can be traced back to Indian rock art paintings that date back to 4000 BC."
where did the name savannah georgia come from,Savannah was named for the Savannah River. Another theory is that the name Savannah refers to the extensive marshlands surrounding the river for miles inland. Still other theories suggest that the name Savannah originates from Algonquian terms meaning not only southerners'' but perhaps salt''.
when was the new york world trade center built,"Construction of the World Trade Center's North Tower began in August 1968, and the South Tower in 1969."
where does the souris river start and end,"It rises in the Yellow Grass Marshes north of Weyburn, Saskatchewan. The river passes on to its confluence with the Assiniboine River at Treesbank, about 25 miles south east of Brandon"
what parts of the world are affected by ebola,"The West African Ebola virus epidemic (2013 -- 2016) was the most widespread outbreak of Ebola virus disease (EVD) in history -- causing major loss of life and socioeconomic disruption in the region, mainly in the countries of Guinea, Liberia, and Sierra Leone. Small outbreaks occurred in Nigeria and Mali, and isolated cases were recorded in Sene"
who invented the cotton gin and what was its impact,"It revolutionized the cotton industry in the United States, but also led to the growth of slavery in the American South as the demand for cotton workers rapidly increased. The invention has thus been identified as an inadvertent contributing factor to the outbreak of the American Civil War."
what do the colors in the ireland flag mean,"The green pale of the flag symbolizes Roman Catholics, the orange represents the minority Protestants who were supporters of William of Orange. The white in the center signifies a lasting peace and hope for union between Protestants and Catholics in Ireland."
how long was max a girl on wizards of waverly place,Maxine remains until  Back to Max ''
what is meant by relative deprivation in sociology,"feelings or measures of economic, political, or social deprivation that are relative rather than absolute"
describe the components of ejaculatory fluid and their sources,"Semen, also known as seminal fluid, is an organic fluid that may contain spermatozoa. It is secreted by the gonads ( sexual glands ) and other sexual organs of male or hermaphroditic animals and can fertilize female ova. It is secreted by the gona"
when did post boxes change from green to red,"In the British Isles, the first red pillar post boxes were erected in Jersey in 1852."
what's the difference between slovakia and czechoslovakia,"Czechoslovakia was part of the Soviet bloc. Czechoslovaks peacefully deposed their government in the Velvet Revolution. In 1993, Czechoslovakia split into the two sovereign states of the Czech Republic and Slovakia."
when does clay find out he has a son,After hanging out with Logan
summary of short story a cup of tea,"Rosemary Fell, a wealthy young married woman, goes to Curzon Street to shop. Before going to the car, Rosemary is approached by Miss Smith, a poor girl who asks for enough money to buy tea."
what time is womans hour on radio 4,"10 am Monday to Friday since James Boyle's revision of the Radio 4 schedules in April 1998. Weekend Woman's Hour is broadcast on Saturday afternoons at 4 pm, and features highlights of the previous week."
who is percy shelley speaking to in ode to the west wind,those who read or hear it
what happened to andre days of our lives,Andre is murdered via blunt force trauma by an unknown assailant.
what is the main reservoir for fresh water on earth,"frozen in glaciers, ice and snow, 0.5 -- 0.75 % as fresh groundwater and soil moisture, and less than 0.01 % of it as surface water in lakes, swamps and rivers"
